ID_Venta,Fecha,País,Ciudad,Cliente,Producto,Categoría,Cantidad,Precio_Unitario,Monto_Total,Medio_Envio,Estado_Envio
26,18/11/2024,Chile,Santiago,Luis López,Impresora,Oficina,4,268.58,1074.32,Aéreo,Entregado
27,16/6/2024,Bolivia,Cochabamba,Juan Sánchez,Cámara,Electrónica,4,469.23,1876.92,Terrestre,En tránsito
28,24/3/2024,Perú,Lima,Pedro Martínez,Teclado,Accesorios,2,681.3,1362.6,Terrestre,En tránsito
29,25/10/2024,Bolivia,La Paz,Pedro Martínez,Teclado,Accesorios,3,739.52,2218.56,Aéreo,Cancelado
30,26/3/2025,Venezuela,Caracas,Ana Pérez,Silla ergonómica,Muebles,4,217.11,868.44,Aéreo,En tránsito
31,23/10/2024,Chile,Santiago,Carlos López,Monitor,Electrónica,1,160.24,160.24,Aéreo,Pendiente
32,19/4/2024,Argentina,Córdoba,Pedro Pérez,Teclado,Accesorios,4,422.09,1688.36,Terrestre,Pendiente
33,2/10/2024,Brasil,Rio de Janeiro,Carlos García,Cámara,Electrónica,3,772.19,2316.57,Terrestre,Cancelado
34,28/3/2024,Perú,Arequipa,Ana García,Monitor,Electrónica,4,149.21,596.84,Terrestre,Entregado
35,23/12/2024,Venezuela,Valencia,Laura García,Escritorio,Muebles,1,656.4,656.4,Terrestre,Entregado
36,7/1/2025,Uruguay,Salto,Pedro Pérez,Impresora,Oficina,3,676.24,2028.72,Marítimo,Pendiente
37,22/3/2024,Brasil,São Paulo,Carlos Martínez,Impresora,Oficina,2,256.89,513.78,Terrestre,Pendiente
38,30/1/2025,Uruguay,Paysandú,Luis García,Celular,Electrónica,3,424.17,1272.51,Terrestre,Cancelado
39,7/3/2024,Ecuador,Quito,Carlos Pérez,Tablet,Electrónica,3,59.03,177.09,Marítimo,En tránsito
40,7/11/2024,Argentina,Rosario,Pedro García,Silla ergonómica,Muebles,3,143.33,429.99,Aéreo,En tránsito
41,23/1/2025,Perú,Lima,Carlos López,Escritorio,Muebles,5,297.66,1488.3,Aéreo,Entregado
42,11/9/2024,Perú,Cusco,Carlos Pérez,Impresora,Oficina,3,95.65,286.95,Terrestre,Pendiente
43,26/3/2025,Venezuela,Caracas,María Sánchez,Cámara,Electrónica,2,113.75,227.5,Marítimo,Cancelado
44,31/1/2024,Colombia,Bogotá,Carlos Pérez,Monitor,Electrónica,4,151.54,606.16,Terrestre,Pendiente
45,30/8/2024,Perú,Arequipa,Lucía Martínez,Auriculares,Accesorios,3,566.17,1698.51,Aéreo,Entregado
46,18/10/2024,Chile,Santiago,Luis López,Celular,Electrónica,5,552.5,2762.5,Marítimo,Entregado
47,3/2/2024,Perú,Lima,Lucía Pérez,Impresora,Oficina,3,777.31,2331.93,Aéreo,Entregado
48,6/3/2025,Perú,Cusco,Laura García,Auriculares,Accesorios,4,440.67,1762.68,Marítimo,Cancelado
49,22/3/2024,Bolivia,La Paz,Ana Rodríguez,Auriculares,Accesorios,2,323.83,647.66,Marítimo,Pendiente
50,27/1/2024,Venezuela,Valencia,Laura Sánchez,Teclado,Accesorios,1,1014.77,1014.77,Marítimo,Cancelado
51,18/1/2025,Argentina,Córdoba,Pedro López,Impresora,Oficina,3,262.13,786.39,Aéreo,Entregado
52,2/11/2024,Brasil,Rio de Janeiro,Lucía López,Teclado,Accesorios,5,1144.18,5720.9,Terrestre,Pendiente
53,21/9/2024,Uruguay,Montevideo,Pedro García,Laptop,Electrónica,2,757.7,1515.4,Terrestre,Cancelado
54,8/3/2025,Ecuador,Guayaquil,Juan Rodríguez,Auriculares,Accesorios,1,451,451,Aéreo,En tránsito
55,24/2/2025,Bolivia,La Paz,Ana Martínez,Silla ergonómica,Muebles,5,896.93,4484.65,Aéreo,Entregado
56,12/2/2024,Venezuela,Maracaibo,María Martínez,Monitor,Electrónica,1,171.66,171.66,Aéreo,Entregado
57,13/5/2024,Perú,Cusco,Lucía López,Cámara,Electrónica,2,632.83,1265.66,Aéreo,Pendiente
58,30/5/2024,Argentina,Rosario,Juan Pérez,Auriculares,Accesorios,4,790.31,3161.24,Aéreo,Cancelado
59,4/7/2024,Ecuador,Quito,María García,Teclado,Accesorios,1,967.9,967.9,Aéreo,En tránsito
60,18/6/2024,Uruguay,Montevideo,Pedro López,Auriculares,Accesorios,4,1166.91,4667.64,Aéreo,Cancelado
61,3/12/2024,Argentina,Córdoba,Laura Sánchez,Monitor,Electrónica,1,1184.65,1184.65,Aéreo,Cancelado
62,16/1/2024,Ecuador,Guayaquil,Laura Martínez,Tablet,Electrónica,5,778.04,3890.2,Marítimo,Pendiente
63,5/11/2024,Bolivia,La Paz,Luis López,Tablet,Electrónica,4,1090.29,4361.16,Aéreo,En tránsito
64,7/9/2024,Venezuela,Maracaibo,María Martínez,Laptop,Electrónica,1,1010.59,1010.59,Terrestre,Pendiente
65,30/11/2024,Perú,Cusco,Juan Martínez,Silla ergonómica,Muebles,4,212.09,848.36,Terrestre,Cancelado
66,13/3/2024,Brasil,Rio de Janeiro,Juan Martínez,Monitor,Electrónica,5,309.02,1545.1,Terrestre,En tránsito
67,22/7/2024,Colombia,Cali,María García,Celular,Electrónica,3,1086.91,3260.73,Aéreo,En tránsito
68,14/5/2024,Colombia,Medellín,Carlos Sánchez,Silla ergonómica,Muebles,4,1014.16,4056.64,Aéreo,En tránsito
69,28/2/2025,Ecuador,Quito,Pedro García,Laptop,Electrónica,2,332.3,664.6,Aéreo,Entregado
70,19/1/2025,Argentina,Rosario,Laura Sánchez,Silla ergonómica,Muebles,5,813.84,4069.2,Aéreo,En tránsito
71,21/2/2025,Bolivia,Santa Cruz,Ana López,Cámara,Electrónica,1,565.99,565.99,Aéreo,Entregado
72,13/9/2024,Bolivia,Santa Cruz,María Pérez,Escritorio,Muebles,1,702.52,702.52,Aéreo,En tránsito
73,18/3/2024,Argentina,Rosario,Ana Sánchez,Impresora,Oficina,5,34.31,171.55,Aéreo,Cancelado
74,15/2/2024,Uruguay,Montevideo,Juan Pérez,Impresora,Oficina,1,411.43,411.43,Terrestre,Entregado
75,26/7/2024,Perú,Cusco,Juan Rodríguez,Teclado,Accesorios,3,301.86,905.58,Aéreo,Entregado
76,15/2/2024,Bolivia,Cochabamba,María García,Laptop,Electrónica,1,767.33,767.33,Aéreo,Pendiente
77,13/1/2025,Venezuela,Caracas,Laura Martínez,Teclado,Accesorios,1,35.47,35.47,Aéreo,Pendiente
78,18/6/2024,Brasil,São Paulo,Juan Martínez,Escritorio,Muebles,5,484.26,2421.3,Aéreo,En tránsito
79,4/7/2024,Perú,Cusco,Laura Rodríguez,Impresora,Oficina,1,517.02,517.02,Aéreo,Pendiente
80,30/10/2024,Venezuela,Caracas,Ana Pérez,Auriculares,Accesorios,2,553.42,1106.84,Marítimo,Entregado
81,19/10/2024,Uruguay,Montevideo,Pedro Sánchez,Laptop,Electrónica,2,967.58,1935.16,Aéreo,Pendiente
82,2/8/2024,Venezuela,Maracaibo,Luis Rodríguez,Celular,Electrónica,2,416.39,832.78,Aéreo,Entregado
83,19/6/2024,Uruguay,Montevideo,Ana Pérez,Teclado,Accesorios,1,564.89,564.89,Marítimo,Entregado
84,7/3/2025,Colombia,Medellín,Luis Martínez,Cámara,Electrónica,3,1144.82,3434.46,Marítimo,En tránsito
85,1/10/2024,Ecuador,Quito,Pedro Rodríguez,Tablet,Electrónica,1,578.07,578.07,Marítimo,Pendiente
86,19/9/2024,Chile,Santiago,Juan López,Celular,Electrónica,1,123.74,123.74,Aéreo,Pendiente
87,1/3/2025,Venezuela,Maracaibo,María Martínez,Monitor,Electrónica,4,584.53,2338.12,Marítimo,En tránsito
88,11/11/2024,Uruguay,Paysandú,Juan García,Celular,Electrónica,2,125.45,250.9,Marítimo,En tránsito
89,27/9/2024,Colombia,Cali,Ana Martínez,Impresora,Oficina,5,1162.73,5813.65,Marítimo,Entregado
90,19/5/2024,Perú,Lima,María Rodríguez,Auriculares,Accesorios,4,682.56,2730.24,Terrestre,En tránsito
91,3/1/2025,Paraguay,Ciudad del Este,Laura Rodríguez,Tablet,Electrónica,3,564.61,1693.83,Aéreo,En tránsito
92,17/5/2024,Uruguay,Salto,María García,Teclado,Accesorios,4,944.07,3776.28,Aéreo,Cancelado
93,16/4/2024,Venezuela,Valencia,María Pérez,Cámara,Electrónica,4,287.86,1151.44,Marítimo,Pendiente
94,25/3/2024,Paraguay,Ciudad del Este,Luis López,Teclado,Accesorios,4,381.26,1525.04,Aéreo,En tránsito
95,4/2/2025,Uruguay,Paysandú,Juan García,Escritorio,Muebles,1,543.99,543.99,Terrestre,En tránsito
96,12/1/2025,Chile,Santiago,Luis Martínez,Silla ergonómica,Muebles,1,723.41,723.41,Aéreo,Entregado
97,21/9/2024,Colombia,Medellín,Laura Rodríguez,Celular,Electrónica,1,483.83,483.83,Terrestre,Pendiente
98,7/6/2024,Paraguay,Ciudad del Este,Lucía Pérez,Tablet,Electrónica,4,370.69,1482.76,Marítimo,En tránsito
99,1/9/2024,Venezuela,Caracas,Ana Sánchez,Cámara,Electrónica,4,483.29,1933.16,Aéreo,Entregado
100,27/3/2024,Bolivia,Santa Cruz,Juan López,Laptop,Electrónica,3,339.56,1018.68,Marítimo,Cancelado
101,15/3/2024,Uruguay,Montevideo,Luis López,Celular,Electrónica,2,378.87,757.74,Terrestre,Entregado
102,2/5/2024,Argentina,Córdoba,Ana García,Laptop,Electrónica,5,977.65,4888.25,Aéreo,Pendiente
103,9/4/2024,Brasil,Rio de Janeiro,Luis Sánchez,Laptop,Electrónica,4,1072.49,4289.96,Terrestre,Entregado
104,5/5/2024,Ecuador,Cuenca,Pedro Sánchez,Monitor,Electrónica,1,295.49,295.49,Aéreo,Cancelado
105,17/12/2024,Perú,Lima,Pedro López,Silla ergonómica,Muebles,3,733.92,2201.76,Terrestre,En tránsito
106,5/3/2024,Colombia,Bogotá,Lucía Martínez,Impresora,Oficina,5,559.94,2799.7,Terrestre,Cancelado
107,15/3/2024,Colombia,Cali,María Pérez,Escritorio,Muebles,1,89.41,89.41,Aéreo,Entregado
108,2/8/2024,Chile,Concepción,Ana López,Silla ergonómica,Muebles,2,726.03,1452.06,Terrestre,En tránsito
109,23/7/2024,Colombia,Cali,Ana Martínez,Silla ergonómica,Muebles,1,101.38,101.38,Terrestre,Entregado
110,26/8/2024,Brasil,Brasília,Laura García,Laptop,Electrónica,2,352.48,704.96,Terrestre,Pendiente
111,20/7/2024,Venezuela,Caracas,Carlos Rodríguez,Escritorio,Muebles,5,387.84,1939.2,Terrestre,Entregado
112,20/5/2024,Argentina,Buenos Aires,Juan Rodríguez,Cámara,Electrónica,2,94.41,188.82,Marítimo,Entregado
113,12/9/2024,Ecuador,Cuenca,Lucía López,Impresora,Oficina,5,588.31,2941.55,Terrestre,En tránsito
114,8/2/2025,Paraguay,Encarnación,María Martínez,Silla ergonómica,Muebles,5,710.17,3550.85,Aéreo,Cancelado
115,12/12/2024,Bolivia,La Paz,Lucía Sánchez,Celular,Electrónica,4,28.49,113.96,Terrestre,Pendiente
116,15/7/2024,Chile,Santiago,Lucía López,Escritorio,Muebles,3,706.41,2119.23,Aéreo,En tránsito
117,9/1/2024,Paraguay,Ciudad del Este,Lucía Martínez,Monitor,Electrónica,3,709.86,2129.58,Terrestre,Cancelado
118,11/9/2024,Chile,Santiago,Juan Martínez,Cámara,Electrónica,2,50.58,101.16,Marítimo,Pendiente
119,29/5/2024,Brasil,Brasília,Laura Sánchez,Cámara,Electrónica,2,139.82,279.64,Aéreo,Cancelado
120,23/4/2024,Brasil,Rio de Janeiro,Carlos Sánchez,Escritorio,Muebles,2,73.44,146.88,Aéreo,Cancelado
121,25/1/2024,Brasil,São Paulo,Pedro Sánchez,Monitor,Electrónica,3,891.94,2675.82,Terrestre,Cancelado
122,31/12/2024,Perú,Cusco,Lucía Martínez,Impresora,Oficina,2,938.67,1877.34,Terrestre,Entregado
123,30/8/2024,Perú,Lima,Luis López,Cámara,Electrónica,3,888.7,2666.1,Marítimo,Cancelado
124,13/3/2024,Paraguay,Encarnación,Carlos Sánchez,Auriculares,Accesorios,3,39.03,117.09,Aéreo,Pendiente
125,17/1/2025,Bolivia,Santa Cruz,Luis García,Tablet,Electrónica,2,778.74,1557.48,Aéreo,Pendiente
126,19/8/2024,Bolivia,Santa Cruz,Lucía García,Silla ergonómica,Muebles,2,928.82,1857.64,Terrestre,Entregado
127,3/11/2024,Chile,Santiago,Laura Rodríguez,Celular,Electrónica,2,658.84,1317.68,Aéreo,Cancelado
128,15/8/2024,Argentina,Córdoba,Laura Sánchez,Teclado,Accesorios,3,979.93,2939.79,Terrestre,Pendiente
129,25/6/2024,Chile,Santiago,Lucía Martínez,Cámara,Electrónica,4,405.15,1620.6,Aéreo,Pendiente
130,28/6/2024,Chile,Santiago,Lucía Sánchez,Celular,Electrónica,5,1129.52,5647.6,Marítimo,Pendiente
131,29/12/2024,Venezuela,Maracaibo,María Sánchez,Monitor,Electrónica,3,601.07,1803.21,Terrestre,Pendiente
132,12/4/2024,Colombia,Medellín,Lucía García,Cámara,Electrónica,4,265.11,1060.44,Terrestre,En tránsito
133,12/10/2024,Bolivia,La Paz,Juan Martínez,Escritorio,Muebles,1,1119.96,1119.96,Marítimo,Pendiente
134,25/1/2024,Chile,Santiago,María Rodríguez,Celular,Electrónica,3,381.12,1143.36,Marítimo,Entregado
135,6/1/2025,Bolivia,La Paz,Lucía García,Teclado,Accesorios,1,1104.43,1104.43,Terrestre,Pendiente
136,28/8/2024,Brasil,Brasília,María Martínez,Auriculares,Accesorios,5,688.11,3440.55,Terrestre,Cancelado
137,14/7/2024,Ecuador,Guayaquil,Laura Sánchez,Tablet,Electrónica,5,392.24,1961.2,Aéreo,En tránsito
138,14/3/2025,Chile,Santiago,Carlos Rodríguez,Cámara,Electrónica,4,320.92,1283.68,Aéreo,Cancelado
139,8/5/2024,Colombia,Bogotá,Juan Sánchez,Impresora,Oficina,5,37.79,188.95,Aéreo,En tránsito
140,12/1/2025,Argentina,Buenos Aires,María Sánchez,Teclado,Accesorios,2,95.37,190.74,Terrestre,Cancelado
141,26/7/2024,Uruguay,Paysandú,Carlos Rodríguez,Teclado,Accesorios,4,1152.64,4610.56,Terrestre,Entregado
142,3/4/2024,Colombia,Medellín,Carlos Pérez,Impresora,Oficina,1,115.6,115.6,Marítimo,Cancelado
143,10/10/2024,Ecuador,Guayaquil,María López,Silla ergonómica,Muebles,1,889.27,889.27,Aéreo,En tránsito
144,10/6/2024,Ecuador,Guayaquil,Pedro Sánchez,Cámara,Electrónica,5,180.04,900.2,Marítimo,En tránsito
145,3/2/2024,Argentina,Rosario,Carlos López,Impresora,Oficina,2,332.02,664.04,Marítimo,Cancelado
146,15/3/2024,Bolivia,Santa Cruz,Carlos Rodríguez,Cámara,Electrónica,3,472.1,1416.3,Marítimo,En tránsito
147,25/8/2024,Perú,Arequipa,Lucía López,Cámara,Electrónica,3,215.43,646.29,Marítimo,En tránsito
148,2/2/2024,Perú,Cusco,Carlos Martínez,Tablet,Electrónica,5,1007.05,5035.25,Aéreo,Pendiente
149,18/10/2024,Paraguay,Ciudad del Este,María García,Celular,Electrónica,4,176.98,707.92,Aéreo,En tránsito
150,7/6/2024,Uruguay,Paysandú,Carlos Martínez,Auriculares,Accesorios,3,572.37,1717.11,Aéreo,Cancelado
151,23/5/2024,Argentina,Rosario,María Rodríguez,Silla ergonómica,Muebles,2,61.34,122.68,Terrestre,En tránsito
152,12/7/2024,Chile,Santiago,Laura Rodríguez,Tablet,Electrónica,1,1041.61,1041.61,Aéreo,Entregado
153,25/12/2024,Paraguay,Ciudad del Este,Carlos Sánchez,Escritorio,Muebles,3,1067.18,3201.54,Terrestre,Entregado
154,17/10/2024,Uruguay,Montevideo,Pedro Sánchez,Escritorio,Muebles,2,1192.34,2384.68,Terrestre,Cancelado
155,4/8/2024,Perú,Lima,Carlos Sánchez,Silla ergonómica,Muebles,5,381.27,1906.35,Terrestre,Pendiente
156,17/7/2024,Ecuador,Quito,Carlos García,Impresora,Oficina,1,1024.78,1024.78,Aéreo,Pendiente
157,31/7/2024,Argentina,Buenos Aires,Luis Rodríguez,Silla ergonómica,Muebles,5,1103.84,5519.2,Marítimo,Cancelado
158,7/4/2024,Perú,Lima,María Martínez,Auriculares,Accesorios,2,294.16,588.32,Aéreo,En tránsito
159,16/8/2024,Argentina,Córdoba,Luis Martínez,Impresora,Oficina,1,1009.29,1009.29,Terrestre,Cancelado
160,3/12/2024,Venezuela,Valencia,Carlos López,Escritorio,Muebles,4,442.92,1771.68,Aéreo,En tránsito
161,22/2/2024,Chile,Valparaíso,Ana Rodríguez,Laptop,Electrónica,3,921.34,2764.02,Terrestre,Pendiente
162,19/9/2024,Perú,Lima,Pedro Rodríguez,Tablet,Electrónica,4,836.32,3345.28,Terrestre,Entregado
163,27/2/2025,Argentina,Córdoba,Pedro López,Impresora,Oficina,2,203.59,407.18,Aéreo,Pendiente
164,9/1/2025,Argentina,Rosario,Lucía Pérez,Silla ergonómica,Muebles,2,268.77,537.54,Terrestre,Pendiente
165,27/6/2024,Chile,Santiago,Pedro García,Escritorio,Muebles,1,431.19,431.19,Terrestre,Pendiente
166,22/3/2025,Paraguay,Encarnación,Ana Sánchez,Celular,Electrónica,4,1166.11,4664.44,Aéreo,Pendiente
167,24/8/2024,Brasil,Rio de Janeiro,María Rodríguez,Silla ergonómica,Muebles,3,118.76,356.28,Terrestre,Entregado
168,12/12/2024,Brasil,Rio de Janeiro,Lucía Sánchez,Auriculares,Accesorios,5,94.4,472,Terrestre,En tránsito
169,15/9/2024,Argentina,Córdoba,María Rodríguez,Celular,Electrónica,3,697.11,2091.33,Marítimo,Entregado
170,25/7/2024,Perú,Lima,Lucía López,Escritorio,Muebles,3,781.91,2345.73,Marítimo,Pendiente
171,9/1/2025,Argentina,Rosario,María López,Laptop,Electrónica,4,1171.62,4686.48,Marítimo,En tránsito
172,14/7/2024,Chile,Concepción,Carlos García,Monitor,Electrónica,5,1161.61,5808.05,Terrestre,Pendiente
173,2/1/2024,Colombia,Medellín,Ana Rodríguez,Escritorio,Muebles,2,126.08,252.16,Aéreo,En tránsito
174,1/7/2024,Bolivia,La Paz,Pedro García,Impresora,Oficina,3,1087.96,3263.88,Terrestre,Entregado
175,15/10/2024,Paraguay,Ciudad del Este,Lucía Pérez,Laptop,Electrónica,3,549.88,1649.64,Marítimo,Entregado
176,30/3/2024,Uruguay,Montevideo,María Sánchez,Laptop,Electrónica,5,239.76,1198.8,Aéreo,Pendiente
177,26/10/2024,Brasil,São Paulo,María López,Teclado,Accesorios,2,1082.24,2164.48,Terrestre,Cancelado
178,16/3/2025,Chile,Valparaíso,Luis Pérez,Auriculares,Accesorios,1,456.76,456.76,Marítimo,Entregado
179,29/10/2024,Ecuador,Quito,Juan Sánchez,Silla ergonómica,Muebles,5,371.33,1856.65,Aéreo,Pendiente
180,29/9/2024,Uruguay,Paysandú,Pedro García,Teclado,Accesorios,1,573.82,573.82,Aéreo,En tránsito
181,9/3/2024,Chile,Santiago,Juan Sánchez,Impresora,Oficina,4,145.83,583.32,Aéreo,Cancelado
182,10/4/2024,Colombia,Cali,Pedro López,Celular,Electrónica,3,500.44,1501.32,Aéreo,Cancelado
183,16/6/2024,Colombia,Bogotá,Luis Sánchez,Escritorio,Muebles,1,398.14,398.14,Marítimo,Pendiente
184,20/5/2024,Colombia,Medellín,Pedro García,Auriculares,Accesorios,5,621.68,3108.4,Aéreo,Pendiente
185,10/10/2024,Ecuador,Guayaquil,Carlos Sánchez,Escritorio,Muebles,1,817.39,817.39,Terrestre,En tránsito
186,24/11/2024,Colombia,Medellín,Luis López,Teclado,Accesorios,3,521.24,1563.72,Marítimo,Entregado
187,23/2/2025,Colombia,Cali,Carlos López,Celular,Electrónica,3,1013.46,3040.38,Terrestre,Pendiente
188,22/11/2024,Chile,Valparaíso,Pedro Sánchez,Tablet,Electrónica,2,237.5,475,Terrestre,Pendiente
189,26/1/2024,Paraguay,Ciudad del Este,María Martínez,Teclado,Accesorios,2,1196.91,2393.82,Marítimo,Pendiente
190,9/2/2025,Bolivia,Santa Cruz,Ana García,Escritorio,Muebles,4,549.12,2196.48,Marítimo,Cancelado
191,11/1/2025,Colombia,Cali,Carlos Rodríguez,Monitor,Electrónica,1,957.51,957.51,Terrestre,En tránsito
192,21/1/2025,Paraguay,Asunción,María Rodríguez,Silla ergonómica,Muebles,5,482.19,2410.95,Terrestre,Entregado
193,3/11/2024,Paraguay,Ciudad del Este,Laura López,Cámara,Electrónica,5,572.38,2861.9,Terrestre,Pendiente
194,13/10/2024,Uruguay,Paysandú,Pedro García,Laptop,Electrónica,3,1027.77,3083.31,Marítimo,Pendiente
195,17/11/2024,Perú,Cusco,Laura López,Escritorio,Muebles,4,219.24,876.96,Marítimo,En tránsito
196,22/2/2025,Ecuador,Cuenca,Laura López,Teclado,Accesorios,1,163.2,163.2,Terrestre,En tránsito
197,7/3/2025,Argentina,Rosario,Lucía Martínez,Teclado,Accesorios,4,216.13,864.52,Terrestre,Cancelado
198,20/3/2024,Brasil,Brasília,Carlos Pérez,Teclado,Accesorios,2,895.65,1791.3,Marítimo,Pendiente
199,24/12/2024,Venezuela,Maracaibo,Lucía López,Celular,Electrónica,4,801.08,3204.32,Terrestre,Entregado
200,5/1/2025,Colombia,Medellín,Carlos Rodríguez,Impresora,Oficina,5,1008.94,5044.7,Marítimo,Entregado
201,21/1/2025,Ecuador,Cuenca,Juan García,Cámara,Electrónica,2,807.09,1614.18,Terrestre,En tránsito
202,16/6/2024,Ecuador,Guayaquil,Juan Sánchez,Monitor,Electrónica,4,1094.91,4379.64,Marítimo,Pendiente
203,16/4/2024,Brasil,Brasília,Lucía García,Teclado,Accesorios,1,167.07,167.07,Aéreo,Cancelado
204,27/12/2024,Chile,Concepción,María Rodríguez,Tablet,Electrónica,2,217.8,435.6,Aéreo,Pendiente
205,16/9/2024,Paraguay,Asunción,Ana García,Celular,Electrónica,3,985.79,2957.37,Aéreo,En tránsito
206,29/2/2024,Ecuador,Guayaquil,Juan Sánchez,Cámara,Electrónica,3,1096.95,3290.85,Terrestre,Pendiente
207,20/11/2024,Chile,Santiago,Luis López,Laptop,Electrónica,1,602.03,602.03,Marítimo,Cancelado
208,20/2/2025,Argentina,Rosario,Juan Pérez,Auriculares,Accesorios,1,140.49,140.49,Terrestre,Entregado
209,15/3/2025,Ecuador,Quito,Luis Rodríguez,Teclado,Accesorios,4,119.85,479.4,Terrestre,En tránsito
210,1/3/2025,Ecuador,Quito,Juan Sánchez,Silla ergonómica,Muebles,1,542.99,542.99,Aéreo,Cancelado
211,10/12/2024,Uruguay,Montevideo,Carlos Martínez,Cámara,Electrónica,2,273.46,546.92,Terrestre,Cancelado
212,28/6/2024,Paraguay,Ciudad del Este,Luis Pérez,Auriculares,Accesorios,4,585.02,2340.08,Aéreo,Cancelado
213,15/3/2025,Bolivia,La Paz,Pedro López,Laptop,Electrónica,2,1179.69,2359.38,Marítimo,Cancelado
214,1/9/2024,Brasil,Brasília,Juan Pérez,Monitor,Electrónica,4,125.78,503.12,Aéreo,Cancelado
215,18/5/2024,Ecuador,Guayaquil,Luis Sánchez,Cámara,Electrónica,5,668.07,3340.35,Aéreo,Entregado
216,7/12/2024,Ecuador,Cuenca,Ana García,Monitor,Electrónica,2,1041.23,2082.46,Terrestre,Cancelado
217,14/9/2024,Paraguay,Encarnación,Laura Sánchez,Silla ergonómica,Muebles,2,315.53,631.06,Aéreo,Pendiente
218,26/3/2024,Paraguay,Ciudad del Este,Ana Martínez,Tablet,Electrónica,1,630.06,630.06,Terrestre,Pendiente
219,26/1/2024,Argentina,Córdoba,María Martínez,Monitor,Electrónica,2,413.47,826.94,Marítimo,Cancelado
220,2/2/2024,Bolivia,Cochabamba,Luis Martínez,Impresora,Oficina,5,57.61,288.05,Aéreo,Entregado
221,14/4/2024,Perú,Cusco,Pedro Rodríguez,Auriculares,Accesorios,4,1100.29,4401.16,Aéreo,Pendiente
222,12/12/2024,Perú,Arequipa,Carlos Rodríguez,Cámara,Electrónica,1,621.37,621.37,Terrestre,Cancelado
223,23/2/2024,Chile,Valparaíso,Juan Rodríguez,Impresora,Oficina,2,543.02,1086.04,Terrestre,Pendiente
224,3/5/2024,Argentina,Córdoba,Lucía Sánchez,Escritorio,Muebles,2,641.11,1282.22,Aéreo,Entregado
225,30/8/2024,Colombia,Medellín,Luis Martínez,Celular,Electrónica,3,445.72,1337.16,Marítimo,Cancelado
